org,repo_count,stargazers_count,latest_update
economistdigitalsolutions,20,113,2025-07-03 17:42:46+00:00
enigma-io,11,512,2025-05-29 11:39:21+00:00
financial-times,700,5397,2025-08-03 02:11:49+00:00
fiquemsabendo,4,42,2025-07-27 16:49:46+00:00
firstlookmedia,27,1451,2025-07-23 21:53:36+00:00
fivethirtyeight,23,20415,2025-08-02 22:22:50+00:00
flatwaterfreepress,3,2,2025-06-18 17:34:12+00:00
folhasp,8,248,2025-08-01 16:28:33+00:00
francetv,53,21,2025-04-02 08:52:29+00:00
freedomofpress,105,9443,2025-08-03 09:16:19+00:00
frontlinepbs,2,0,2023-01-10 17:15:24+00:00
ft-interactive,234,810,2025-08-02 12:13:59+00:00
ftc-editorial,14,2,2023-06-26 03:34:45+00:00
ftchinese,41,15,2025-07-30 08:59:45+00:00
ftlabs,109,21494,2025-08-02 18:25:43+00:00
fullfact,12,5,2025-08-01 09:43:53+00:00
gannettdigital,27,103,2025-05-12 17:35:08+00:00
gatehousemedia,17,12,2025-06-18 16:55:11+00:00
gawkermedia,24,28,2025-05-29 00:34:15+00:00
gdnmobilelab,41,444,2025-07-10 21:56:26+00:00
globeandmail,50,430,2025-07-10 16:27:54+00:00
globocom,267,9244,2025-08-03 09:58:30+00:00
gmg-special-projects-desk,12,297,2025-03-08 08:30:21+00:00
googletrends,81,4837,2025-07-31 13:16:07+00:00
govtrack,24,570,2025-07-27 15:03:42+00:00
grist-data-desk,14,31,2025-08-01 05:55:14+00:00
guardian,1913,18618,2025-08-02 00:28:59+00:00
haaretz,38,5,2024-12-22 09:53:21+00:00
hackshackers,13,58,2024-09-28 02:59:01+00:00
hartfordcourant,10,1,2020-07-01 04:39:08+00:00
harvard-lampoon,2,1,2022-05-02 15:03:09+00:00
hbrgtech,3,123,2023-04-30 08:40:30+00:00
hearst-dd,6,12,2019-10-01 02:57:59+00:00
hearst-hatchery,2,1,2022-12-08 15:06:06+00:00
hearstcorp,6,20,2023-01-28 17:56:10+00:00
hechinger,6,0,2025-08-01 16:40:58+00:00
hindustantimeslabs,51,132,2025-07-31 12:51:45+00:00
houston-chronicle,16,3,2025-02-24 22:10:53+00:00
howard-center-investigations,9,4,2025-08-03 10:12:10+00:00
icfj-org,1,0,2016-05-05 01:15:25+00:00
icij,64,1433,2025-08-01 12:57:14+00:00
imedd-lab,6,36,2025-07-24 08:14:39+00:00
infoamazonia,30,83,2025-07-15 19:13:53+00:00
initiumlab,42,62,2021-12-07 09:56:24+00:00
inn,102,224,2025-06-25 12:15:34+00:00
insideclimatenews,10,8,2025-07-31 01:47:02+00:00
insideenergy,9,34,2025-05-21 15:19:16+00:00
internews-ke,4,2,2015-08-01 02:51:56+00:00
invinst,19,279,2025-08-02 19:27:38+00:00
ireapps,41,407,2025-07-10 22:44:45+00:00
irworkshop,7,48,2025-06-02 19:33:16+00:00
journalismai,7,22,2024-11-12 02:53:38+00:00
jplusplus,114,517,2025-07-02 23:07:39+00:00
kffdata,1,33,2025-07-30 19:08:31+00:00
khnews,5,25,2024-10-18 04:22:38+00:00
kiln,48,220,2025-06-30 19:02:55+00:00
kpbs,2,2,2023-01-28 10:14:43+00:00
kqed,15,7,2025-06-10 18:24:15+00:00
labsletemps,34,43,2025-03-22 21:56:06+00:00
lanacioncom,18,33,2025-01-24 15:36:27+00:00
laopinion,22,6,2025-02-05 04:28:50+00:00
learninglab,6,18,2017-04-11 16:14:24+00:00
lemonde,53,317,2025-07-10 04:40:54+00:00
lenfest-institute,1,0,2025-01-06 14:29:52+00:00
lenfestlab,3,10,2023-01-28 00:26:53+00:00
liberation,26,346,2025-07-01 14:33:00+00:00
mailonline,61,645,2025-07-17 16:50:20+00:00
mashable,7,50,2023-12-19 09:50:05+00:00
mcclatchy,44,44,2025-07-18 16:35:58+00:00
meedan,67,374,2025-08-01 14:10:45+00:00
miamiherald,18,3,2022-09-07 21:42:07+00:00
michiganradio,1,1,2022-02-01 08:05:18+00:00
micnews,127,1176,2025-07-09 07:51:38+00:00
minneapolisstartribune,16,13,2025-08-01 20:11:01+00:00
minnpost,168,604,2025-07-09 15:12:26+00:00
mirror-media,44,88,2025-07-30 09:15:41+00:00
missionlocal,5,7,2025-07-30 02:12:21+00:00
motherjones,70,514,2025-02-06 01:22:57+00:00
muckrack,1,3,2025-05-06 15:44:11+00:00
muckrock,76,360,2025-07-30 17:56:40+00:00
natgeosociety,8,4,2025-06-07 17:04:23+00:00
nbcnews,17,30,2025-06-25 22:22:27+00:00
news-catalyst,17,7,2025-04-12 14:18:59+00:00
newsappajc,23,21,2021-03-04 22:42:33+00:00
newsapps,52,7461,2025-08-02 22:23:06+00:00
newsappsio,2,101,2025-05-07 20:48:13+00:00
newscientistapps,6,8,2024-01-26 11:17:19+00:00
newsday,2,18,2020-07-27 05:24:59+00:00
newsdev,71,2680,2025-07-31 18:25:42+00:00
newshour,9,63,2025-03-21 16:01:28+00:00
newslynx,34,122,2025-06-04 18:06:10+00:00
newsrevenuehub,2,4,2025-08-01 20:43:37+00:00
newyorker,6,58,2024-10-24 04:14:39+00:00
niemanlab,1,175,2025-02-07 11:14:08+00:00
nmg-digital,1,0,2022-02-18 15:00:55+00:00
npr,31,510,2025-06-06 15:46:44+00:00
nprapps,212,4131,2025-08-03 03:58:06+00:00
nrkno,108,1174,2025-08-02 21:10:17+00:00
nuknightlab,73,15889,2025-08-02 15:00:41+00:00
nydailynews,60,16,2025-03-25 06:40:11+00:00
nymag,31,71,2025-08-01 17:35:22+00:00
nypublicradio,81,1120,2025-07-16 21:27:43+00:00
nytimes,94,44653,2025-08-02 20:39:44+00:00
nytlabs,20,2176,2025-08-02 23:28:49+00:00
nzzdev,46,182,2025-08-03 09:10:06+00:00
occrp,30,116,2025-07-22 16:17:20+00:00
openelections,131,721,2025-08-02 23:23:35+00:00
opennews,26,61,2025-07-24 17:05:13+00:00
opennewslabs,35,1086,2025-07-30 13:43:34+00:00
opensecrets,2,24,2024-08-20 01:25:23+00:00
openstates,27,1411,2025-08-02 03:53:08+00:00
oregonian,2,9,2015-10-16 06:47:41+00:00
orlandosentinel,5,11,2020-10-18 21:27:46+00:00
overview,53,571,2025-07-30 15:45:28+00:00
palmbeachpost,25,65,2024-10-13 20:59:44+00:00
phillymedia,58,12,2025-07-22 13:05:12+00:00
pitchinteractiveinc,6,397,2025-07-30 21:55:59+00:00
poderopedia,9,85,2023-08-04 04:24:23+00:00
policymic,1,24,2025-06-13 06:40:47+00:00
politibot,2,0,2018-07-10 20:06:46+00:00
polygraph-cool,12,2,2025-07-25 18:51:53+00:00
postandcourier,15,9,2024-02-27 11:49:44+00:00
postdispatchinteractive,11,12,2024-08-23 23:43:43+00:00
povdocs,12,427,2025-07-23 21:22:28+00:00
proofnews,1,4,2024-11-07 21:43:28+00:00
propublica,62,7527,2025-08-02 16:37:55+00:00
prx,123,313,2025-08-01 22:29:51+00:00
publici,68,280,2025-08-01 14:52:14+00:00
publicradiointernational,5,12,2023-01-28 05:26:22+00:00
publicsource,15,1,2025-07-17 18:44:46+00:00
quartz,89,6911,2025-07-31 05:44:05+00:00
radiofrance,28,169,2025-07-21 10:27:40+00:00
reesenewslab,4,5,2024-04-29 14:55:41+00:00
registerguard,84,82,2025-03-15 12:32:33+00:00
reuters-graphics,71,317,2025-07-31 22:17:03+00:00
rferl,2,1,2025-07-11 09:48:56+00:00
rji-futures-lab,21,4,2024-07-31 13:44:15+00:00
row-engineering,1,9,2024-03-25 04:51:52+00:00
sa-express-news,78,31,2025-06-29 10:30:00+00:00
sahanjournal,1,0,2023-11-21 21:16:12+00:00
scpr,86,116,2024-11-08 07:28:34+00:00
seattletimes,459,214,2025-07-11 19:05:49+00:00
sfchronicle,184,71,2025-07-24 21:48:46+00:00
slategroup,7,8,2024-08-27 15:13:29+00:00
sourcefabric,3,877,2025-07-01 00:39:24+00:00
southsideweekly,7,1,2022-02-27 18:33:45+00:00
spiegelgraphics,13,229,2025-07-25 09:26:40+00:00
spiritedmedia,7,31,2023-01-28 17:58:24+00:00
spotlightpa,28,88,2025-08-02 04:11:31+00:00
srfdata,39,187,2025-05-06 15:41:22+00:00
statesman,97,5,2020-02-24 20:52:37+00:00
stlpublicradio,47,24,2025-06-24 11:59:29+00:00
striblab,218,63,2025-08-01 14:08:13+00:00
sueddeutsche,33,201,2025-07-26 19:50:41+00:00
sunlightlabs,224,2293,2025-07-08 08:07:52+00:00
sunsentinel,16,4,2025-05-19 05:50:33+00:00
tageswoche,21,18,2021-06-27 04:42:00+00:00
tarbell-project,3,168,2025-07-03 19:02:11+00:00
tbtimes,17,30,2025-07-21 16:57:45+00:00
teamtrace,1,1,2019-11-13 15:51:00+00:00
technologyreview,5,2,2024-08-13 21:09:34+00:00
telegraph,1,0,2024-10-07 10:41:50+00:00
telemundo,1,0,2025-01-22 21:26:17+00:00
texastribune,165,306,2025-08-01 19:38:55+00:00
texty,200,140,2025-07-24 22:31:31+00:00
the-19th,1,3,2024-04-10 17:17:04+00:00
the-baltimore-banner,28,26,2025-07-11 18:41:24+00:00
the-irish-times,1,0,2018-01-19 09:47:20+00:00
the-markup,81,1045,2025-07-30 18:04:37+00:00
the-politico,96,328,2025-05-10 00:35:11+00:00
the-pudding,273,2402,2025-08-02 01:24:35+00:00
theadvocate,1,0,2014-02-27 17:16:27+00:00
theatlantic,47,1396,2025-07-22 17:24:24+00:00
thechicagoreporter,13,27,2025-01-16 17:58:32+00:00
thecityny,28,80,2025-08-01 21:21:28+00:00
theeconomist,37,5071,2025-08-03 05:13:51+00:00
thegazette,15,18,2025-07-10 11:14:05+00:00
thelens,11,7,2019-11-12 17:31:45+00:00
themarshallproject,28,939,2025-08-01 18:24:31+00:00
theonion,73,4700,2025-06-24 09:51:40+00:00
theoregonian,11,21,2025-02-15 15:30:45+00:00
theparanoids,15,391,2025-07-08 00:50:02+00:00
therapplers,2,0,2021-01-25 15:08:15+00:00
theupshot,26,1151,2025-07-07 21:18:21+00:00
thomsonreuters,47,358,2025-07-29 09:10:18+00:00
thunderdome-data,37,87,2025-07-15 15:45:46+00:00
timemagazine,26,56,2025-07-07 11:19:10+00:00
timemagazinelabs,15,663,2025-07-20 23:11:33+00:00
times,40,543,2025-08-02 18:22:33+00:00
trendct,35,34,2024-10-24 18:14:41+00:00
tribune,20,89,2023-06-02 20:24:37+00:00
twreporter,36,532,2025-07-31 11:51:21+00:00
usafacts,1,0,2022-04-29 18:12:44+00:00
usatoday,10,47,2025-08-01 06:07:01+00:00
vgno,52,253,2025-07-04 12:13:27+00:00
vicemedia,21,67,2025-07-06 23:02:37+00:00
voanews,4,4,2024-04-23 08:55:56+00:00
voxmedia,85,3901,2025-08-02 22:23:02+00:00
vprnet,65,53,2025-07-24 16:35:52+00:00
washingtoncitypaper,4,2,2016-06-29 12:48:31+00:00
washingtonpost,79,2777,2025-07-29 17:17:37+00:00
washingtonpost-archive,8,16,2023-01-28 18:51:48+00:00
washingtontimes,1,38,2024-01-09 01:41:14+00:00
wbez,31,14,2025-02-01 17:10:35+00:00
wbur,6,14,2024-03-27 17:28:50+00:00
wearehearken,3,0,2020-11-05 00:33:54+00:00
wgbh,38,108,2025-07-24 16:24:49+00:00
wireservice,16,8284,2025-08-01 10:00:09+00:00
wnyc,47,788,2025-07-02 05:53:39+00:00
worldcompany,2,142,2025-02-06 13:03:11+00:00
wpinvestigative,22,192,2025-01-03 19:48:14+00:00
wraldata,14,34,2025-08-01 08:30:19+00:00
wsj,10,533,2025-07-14 02:19:20+00:00
yleisradio,43,493,2025-07-31 05:35:47+00:00
youthradio,72,10,2021-12-21 00:44:29+00:00
zeitonline,143,367,2025-08-01 13:43:19+00:00
